0|,|0.635988175868988 0.3188849985599518 0.8266676664352417 0.2773280143737793 4.818638444703538e-06 0.0003313105262350291 0.002574529964476824 0.9958663582801819 0.05911731347441673 0.9113709330558777 0.01715223304927349 0.00011112932406831533 0.0007775882841087878 0.0010721730068325996 0.0015289554139599204 0.00039720043423585594 0.0086432546377182
1|,|0.0914241150021553 0.00616810517385602 0.00014457012002822012 0.00785776786506176 0.00035955270868726075 0.0033486662432551384 0.03046763315796852 0.00028650069725699723 0.0013552273157984018 0.0022819507867097855 0.003613892709836364 0.007085130549967289 0.0033035052474588156 0.022918561473488808 0.0016914549050852656 0.0038554330822080374 0.05491095408797264
2|,|0.0028761972207576036 0.001880765426903963 0.0028641391545534134 0.038203172385692596 0.490752637386322 0.0005682896007783711 0.23315592110157013 0.00017442555690649897 9.416312968824059e-05 0.0009805209701880813 0.004717413801699877 0.0009052370442077518 0.0007821086328476667 0.5923817753791809 0.4976560175418854 0.035174425691366196 0.975684642791748
3|,|0.0459238663315773 0.0009994052816182375 0.002955468138679862 0.05611169710755348 0.03865860775113106 0.1428375095129013 0.07259680330753326 0.03298260271549225 0.0007026661187410355 0.04322384297847748 0.04682512581348419 0.01564452238380909 0.1586569845676422 0.00840228982269764 0.2653689682483673 0.010287179611623287 0.16996902227401733
4|,|0.0010898534674197435 0.022363834083080292 2.346296787436586e-05 0.023711761459708214 4.7839235776336864e-05 0.0020822195801883936 0.010254602879285812 0.001579810748808086 0.9684256911277771 0.049517419189214706 0.04263417050242424 0.0010750629007816315 0.0006013789097778499 0.01122917328029871 0.001974485581740737 0.002704413840547204 0.08652394264936447
5|,|0.3632606565952301 0.08270830661058426 0.1813248246908188 0.2712874114513397 0.002026374451816082 0.002067143563181162 0.1776602864265442 0.12109488993883133 0.006152718793600798 0.36489537358283997 0.06983446329832077 0.0007154583581723273 0.005379490554332733 0.4358019530773163 0.12414077669382095 0.009291800670325756 0.0015805636066943407
6|,|0.0002150906657334417 0.0009623938822187483 8.551148312108126e-06 0.0004591994220390916 0.002372432267293334 0.9999514222145081 0.36081263422966003 0.0012611040147021413 0.0014575147069990635 0.0008862829999998212 0.0016270573250949383 0.03716188296675682 0.9999838471412659 0.06497245281934738 0.010024168528616428 0.999910295009613 0.002379162237048149
7|,|0.44300973415374756 0.0005041809054091573 0.0016827703220769763 0.0034539515618234873 0.0003396734828129411 0.0017338923644274473 0.04969596490263939 0.15931008756160736 0.00016445465735159814 0.006980522535741329 0.006055348087102175 0.0020306818187236786 0.0014065677532926202 0.028345279395580292 0.002863130299374461 0.0007078628404997289 0.00028870278038084507
8|,|0.01171084214001894 0.0016495020827278495 0.014776444062590599 0.01879061385989189 0.0078849196434021 0.001568952458910644 0.13413383066654205 0.00045227768714539707 0.0005392035818658769 0.0032187141478061676 0.013113454915583134 0.0008472343324683607 0.0011681371834129095 0.11633028835058212 0.05188252404332161 0.01243122760206461 0.017068924382328987
9|,|0.015196948312222958 0.00010608935554046184 1.0208029380009975e-05 0.009692425839602947 0.0005366123514249921 0.0017419754294678569 0.014883351512253284 1.968884316738695e-05 9.008131019072607e-05 0.002609590068459511 0.0028699920512735844 0.0069020953960716724 0.0012185953091830015 0.0038311174139380455 0.00026500786771066487 0.0001639209222048521 0.0012589306570589542
