809	7212
623	5681
266	5406
256	5327
172	5265
14	5000
852	4739
399	4398
832	4395
382	4372
842	4328
521	4296
48	4112
439	4081
582	3997
204	3845
338	3756
514	3398
654	3312
569	3144
556	3021
834	2976
231	2971
363	2774
661	2752
355	2664
66	2613
697	2603
305	2274
538	2270
290	2188
449	2164
432	2151
700	2067
461	2036
374	2004
34	1959
343	1886
779	1840
91	1832
313	1821
149	1818
138	1752
113	1717
504	1592
498	1566
160	1561
106	1518
289	1510
7	1473
47	1447
437	1425
478	1418
54	1413
12	1373
823	1361
501	1354
545	1348
162	1347
132	1339
856	1338
487	1327
145	1296
493	1294
737	1286
56	1283
200	1278
784	1270
470	1255
494	1242
169	1216
300	1173
320	1091
769	1064
728	1020
488	1008
477	998
717	989
405	987
740	944
548	943
419	913
614	898
136	893
243	893
122	882
265	873
38	866
19	841
453	839
421	825
400	822
411	820
636	805
624	794
851	775
433	756
345	746
221	720
180	713
537	707
550	699
667	691
591	689
156	689
660	676
445	672
171	671
335	653
777	648
358	636
532	631
397	626
395	614
691	609
785	597
657	595
618	593
789	593
176	593
142	582
187	579
270	575
651	571
39	565
549	554
78	547
261	545
50	541
51	533
398	529
571	525
424	518
641	516
579	510
690	510
458	507
502	505
608	503
389	502
361	498
20	485
524	485
402	478
161	477
333	471
408	469
542	466
351	447
446	446
357	438
285	437
391	428
788	424
463	422
369	421
125	420
278	420
838	416
807	411
761	410
229	410
522	408
471	407
486	388
282	387
259	386
843	386
758	382
519	375
386	372
617	371
818	369
71	366
422	366
116	366
455	353
257	349
327	343
105	343
196	340
192	339
655	336
755	332
293	324
596	324
647	318
442	317
107	315
794	311
827	310
672	309
520	306
754	303
689	301
601	300
213	298
786	293
750	291
733	283
80	282
17	281
711	278
703	277
197	276
326	276
426	274
800	274
273	272
404	270
767	270
26	268
59	266
315	265
240	261
497	260
346	257
52	255
735	253
212	252
247	252
575	248
414	246
473	244
190	244
808	242
483	241
291	235
188	231
36	227
607	226
372	226
306	221
185	220
435	218
628	213
64	212
31	211
90	207
100	206
330	200
746	198
643	197
93	195
321	194
759	193
128	191
770	191
511	190
1	190
317	189
506	189
284	188
276	185
830	182
670	182
42	178
234	178
634	177
706	176
378	173
625	173
679	172
649	172
724	171
227	171
622	171
578	170
394	169
362	169
650	168
354	165
8	161
531	161
288	161
79	158
359	157
825	157
468	156
311	156
815	156
806	152
63	151
512	148
33	147
734	146
112	146
496	146
797	145
829	145
561	145
491	144
5	143
194	143
492	142
574	142
621	141
95	141
238	141
676	141
763	141
390	141
409	140
583	138
115	138
21	137
837	136
637	136
37	136
776	133
438	132
440	132
499	131
281	131
436	131
342	130
146	130
401	129
130	128
217	128
310	128
376	127
460	126
659	125
295	125
164	124
627	124
753	123
88	123
416	123
198	123
302	122
61	122
772	122
85	122
516	122
175	121
589	121
230	121
613	121
787	120
367	120
9	120
517	119
775	119
292	119
742	119
83	119
184	118
181	118
666	118
580	118
533	117
340	117
312	116
557	116
587	115
722	115
476	115
27	114
680	114
828	113
462	113
301	113
201	112
74	112
393	112
518	112
505	112
605	112
134	111
479	111
539	111
469	111
821	111
576	111
375	110
633	110
535	110
170	109
590	109
118	109
127	109
712	109
464	108
296	108
586	107
207	107
768	107
329	107
101	107
686	106
219	106
612	105
782	105
0	105
503	105
316	105
609	104
602	104
431	104
174	104
443	103
684	103
588	103
264	103
741	102
117	102
570	102
814	101
791	101
99	101
721	101
388	101
813	100
599	100
199	100
598	100
139	100
123	100
745	100
4	99
417	99
277	99
846	98
597	98
447	98
699	98
454	98
430	98
801	98
739	98
228	98
566	97
551	97
22	97
766	97
853	97
155	97
723	97
183	97
151	97
332	96
593	96
727	96
635	96
120	96
148	96
28	95
626	95
541	95
620	95
347	95
835	95
725	95
448	95
665	95
472	95
749	95
798	94
848	94
783	94
360	94
89	94
820	94
707	94
719	94
96	94
232	93
543	93
403	93
615	93
299	93
839	93
287	93
434	92
307	92
309	92
559	92
249	92
527	92
25	92
368	92
60	91
547	91
757	91
732	91
412	91
366	91
652	91
121	91
193	91
780	91
384	91
546	91
822	91
81	90
252	90
262	90
370	90
577	90
456	90
765	90
850	90
35	90
687	90
695	90
189	90
528	90
482	90
648	90
630	90
751	89
811	89
3	89
560	89
114	89
611	89
294	89
206	88
600	88
793	88
555	88
500	88
159	88
632	88
214	88
179	88
140	88
331	88
356	88
685	88
584	87
565	87
485	87
202	87
45	87
337	87
318	87
350	87
237	87
572	87
736	87
692	87
233	87
303	86
523	86
747	86
771	86
803	86
371	86
69	86
76	86
92	86
387	86
280	86
319	86
534	85
428	85
716	85
854	85
314	85
553	85
70	85
13	85
812	85
682	85
844	85
364	85
208	85
762	85
696	85
752	85
297	85
244	85
441	85
540	85
554	84
490	84
267	84
